Title,Period,Country,Classification
"Nasturtium, Jennie Satterlee, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Hepatique, Josie Hall, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Hyragranda, Isabelle Evesson, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Purple Daisy, Ada Rehan, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Fuchsia, Grace Henderson, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Dragon Lily, Miss Engel, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Hepatique, Josie Hall, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Single Pinks, Adelaide Emerson, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Grass Pinks, Leila Farrell, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Jonquils, Miss Ilga, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Tube Rose, Theresa Vaughn, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Wild Field Carnation, Cora Tanner, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Pansies, Isabelle Urquhart, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Cowslip, Jennie M'Nulty, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Dandelions, Rita Hart, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Rhododendron, May Fortescue, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Poppies, Mrs. James Brown Potter, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Rose, Laura Burt, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Wild Field Carnation, Cora Tanner, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Gentian, Lillian Russell, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Daisy, Maud Branscombe, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Jonquils, Miss Ilga, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Violet Asters, Isabelle Irving, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Edelweiss, Sadie Martinot, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Lynchnis Alfina, Nettie Guyon, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Rhododendron, May Fortescue, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Apple Blossom, Louise Paullin, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Gentian, Lillian Russell, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Buttercups, Mollie Fuller, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Edelweiss, Sadie Martinot, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Dahlias, Mme. Cottrelly, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Wild Verbena, Agnes Miller, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Clustered Bell, Georgie Cayvan, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Golden Ragwort, Geraldine Ulmer, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Clustered Bell, Georgie Cayvan, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Cudweed, Miss Spear, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Cudweed, Miss Spear, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Sweet Fern, Miss Dutailley, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Tulip, Hattie Delaro, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Daisy, Maud Branscombe, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Raspberry Blossom, Kate Uart, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Pansies, Isabelle Urquhart, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"China Pink, Effie Shannon, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Tube Rose, Theresa Vaughn, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Wild Rose, Estelle Clayton, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Mistletoe, Eveleen Rayne, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"China Pink, Effie Shannon, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Rose, Laura Burt, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Dahlias, Mme. Cottrelly, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Violets, Mrs. Edith Kingdon-Gould, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Yellow Cactus, Pauline Hall, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Tulip, Hattie Delaro, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Yellow Cactus, Pauline Hall, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Mistletoe, Eveleen Rayne, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Auricula, Bella Archer, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Yellow Wind-Flower, May Newmann, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
Design for a Haircomb with a Grasshopper and a Bundle of Flowers,Date Unknown,Null,Albums
"Textile Design with Round Frames with Sailing Ships, Flowers and Bucket and Shovel Motifs Over a Checked Background",Date Unknown,Null,Drawings
Textile Design with Red and Green Square Motifs with Stylized Flowers and Rabbits over a Blue and White Checked Pattern Decorated with Dots,Date Unknown,Null,Drawings
Textile Design with Interlacing Branches with Flowers and Leaves Over a Checked Background,Date Unknown,Null,Drawings
"Textile Design with Bundles of Flowers and Leaves, Camels and a Checked Pattern",Date Unknown,Null,Drawings
"Textile Design with Scrolling C-Curves with Gingham Patterns, Heart Motifs Hanging from Ribbons and Bundles of Flowers and Leaves",Date Unknown,Null,Drawings
Textile Design with Scrolling Branches with Leaves and Stylized Orientalist Flowers over a Striped Background,Date Unknown,Null,Drawings
"Textile Design with Vertical Garlands of Flowers and Leaves, Stripes and Stippled Triangles",Date Unknown,Null,Drawings
Textile Design with Thin Garlands of Red and White Flowers and Leaves over a Blue Checked Pattern,Date Unknown,Null,Drawings
Textile Design with Bundles of Paisley Motifs and Stylized Flowers over a Checked Background,Date Unknown,Null,Drawings
Textile Design with Vertical Garlands of Stylized Flowers and Leaves,Date Unknown,Null,Drawings
"Textile Design ""Pima"" with Semi-Abstract Flowers and Birds",Date Unknown,Null,Drawings
"Textile Design with a Pink, Blue and White Diagonal Checked Pattern Decorated with Outlined Stylized Flowers",Date Unknown,Null,Drawings
Textile Design with Large Stylized Flowers with Paisley Motifs and Small Roses,Date Unknown,Null,Drawings
Textile Design with Acoma-Inspired Tribal Motifs with Abstract Flowers and Birds,Date Unknown,Null,Drawings
"Textile Design with White, Blue and Red Stylized Flowers",Date Unknown,Null,Drawings
"Six designs for brooches with scrolling branches, pearls, and stylized flowers and leaves",Date Unknown,Null,Albums
"Eight designs for brooches with stylized leaves, flowers, and ribbons",Date Unknown,Null,Albums
"Eight designs for brooches with scrolling branches, flowers and leaves",Date Unknown,Null,Albums
"Ten designs for brooches with flowers, leaves, and scrolls",Date Unknown,Null,Albums
"Yellow Wind-Flower, May Newmann, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
Campion Rose from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Unknown Cigarettes,Date Unknown,Null,Prints
Red Chrysanthemum from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Unknown Cigarettes,Date Unknown,Null,Prints
"Yellow Bachelor's Button, Miss Billie Barlow, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Violets, Mrs. Edith Kingdon-Gould, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Yellow Bachelor's Button, Miss Billie Barlow, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Forget-Me-Nots, Miss Lewis, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Forget-Me-Nots, Miss Lewis, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Yellow Bachelor's Button, Miss Billie Barlow, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
"Woman in red striped dress, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in green dress with white sash, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in purple dress and purple stockings, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in wheat-patterned dress, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in red dress with pink bodice, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in white dress with blue sash, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in brown dress with green bows, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in red and yellow striped dress with a straw hat, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in green striped dress, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in green dress with brown shawl, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in pink dress with white pinafore, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in brown pinafore and pink bonnet, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in yellow striped dress, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in white dress and blue bodice, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in red hat holding straw, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in green dress with yellow sash, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in green dress with pink bodice, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in purple bodice with sunflowers, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in purple dress with green cuffs, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
"Woman in white dress with purple shoes, from the Costumes and Flowers series (N304) to promote Mayo's Cut Plug Tobacco",Date Unknown,Null,Prints
Tent Panel with Flowering Motif,Date Unknown,Null,Textiles
"Ornamental Designs with Palmettes, Flowers, and Scrolling Leaves",Date Unknown,France,Books
Ornamental designs with thin bundles and garlands of flowers and leaves,Date Unknown,France,Books
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 2",Date Unknown,Null,Books
"Bouquets et Frondaisons (Flowers and Foliage), Pl. 1",Date Unknown,Null,Books
Ornamental designs with stylized flowers and scrolling leaves,Date Unknown,France,Books
Sunflowers,Date Unknown,Null,Paintings
"Phantom Flowers, a treatise on the art of producing skeleton leaves",Date Unknown,Null,Books
"Title Page: The Specimen Book of Fruits, Flowers and Ornamental Trees, Carefully Drawn and Colored from Nature, For the Use of Nurserymen",Date Unknown,Null,Prints
"Interior with a Canopy Bed with a Vase of Flowers Decorating the Headboard, from Second Liure Dappartements, part of Œuvres du Sr. D. Marot",Date Unknown,The Netherlands,Prints
"Series of Blackwork Ornaments combined with Figures, Birds, Animals and Flowers",Date Unknown,Null,Albums
Flora Exotica: A Collection of Flowering Plants,Date Unknown,Null,Books
"Wax flowers, how to make them.  With new methods of sheeting wax, modelling fruit, etc.",Date Unknown,Null,Books
"The Burial of Saint Petronilla, being lowered into her grave with flowers in her hair in the foreground, bystanders at left and right, Christ and angels in the clouds overhead, after a painting (1621-22) by Guercino for Saint Peter's Basilica",Date Unknown,Null,Prints
"The Throne of Solomon with female figures on either side hilding incense burners and flowers, from Maria Vergine Coronata; Descrizione e dichiarazione della Divota Solennita fatta in Reggio li 13 Maggio 1674",Date Unknown,Italy,Prints
"Plate 17: Two draped female figures, one of whom holds fruits and flowers, approaching an altar, from a series of 44 plates depicting the stucco medallions by Raphael's workshop designed for the Vatican Loggie",Date Unknown,Null,Prints
Lady in a Flowered Dress,Date Unknown,Null,Photographs
Beach with Wild Flowers and Rocks (from Sketchbook VII),Date Unknown,Null,Not Assigned
"The Burial of Saint Petronilla, being lowered into her grave with flowers in her hair in the foreground, bystanders at left and right, Christ and angels in the clouds overhead, after a painting (1621-22) by Guercino for Saint Peter's Basilica",Date Unknown,Null,Prints
"Introduction to the Art of Cutting Groups of Figures, Flowers, Birds, Etc. in Black Paper",Date Unknown,Null,Books
"The Rest on the Flight into Egypt, the Holy Family resting among ruins, Joseph sleeping at left, the Christ child and Mary receiving food from two angels kneeling at right; putti overhead scattering flowers, an elephant standing at right and a donkey at left",Date Unknown,Null,Prints
"The Mystery of the Rosary, various people below holding rosaries with two soldiers holding spears to them, the Virgin and Child at top center, an angel at right holding a cross and another holding Veronica's veil, angels overhead holding flags and banners, flowers from overhead falling onto the people below",Date Unknown,Null,Prints
The Little Flowers of Saint Francis of Assisi,Date Unknown,Null,Books
How To Tell The Birds From The Flowers: A Manual of Flornithology for Beginners,Date Unknown,Null,Books
"Textile Design with Interlacing Branches with Roses, Flowers and Leaves",Date Unknown,Null,Drawings
Textile Design with Vertical Branches with leaves and Pairs of Large Stylized Flowers,Date Unknown,Null,Drawings
Flowering Plum and Rock,17th - 20th Century,China,Paintings
"Alternative plan for a ceiling decoration depicting Aurora distributing flowers, from Grands quarts-de-plafond à la romaine, plate 4, bound in Oeuvres. Vol. I",Date Unknown,France,Prints
"Two variants a ceiling decoration depicting a putto holding a basket of flowers on his head at lower right, from Nouveaux ornements ou plafonds, plate 6, bound in Oeuvres. Vol. I",Date Unknown,France,Prints
"Two trophies of arms with a vase holding flowers in an oval at lower right and with two lions, from Montants de trophées d'armes à l'antique, plate 3, bound in Oeuvres. Vol. IV",Date Unknown,France,Prints
"A term holding a vase of flowers on his head at right, from Grotesques et mauresques à la romaine, plate 5, bound in Oeuvres. Vol. IV",Date Unknown,France,Prints
"Vase in profile ornamented with a frieze of sphinxes and a putto carrying a vase of flowers on his head, from Grands vases dans des bordures décoratives, plate 4, bound in Oeuvres. Vol. III",Date Unknown,France,Prints
Common Wayside Flowers,Date Unknown,Null,Books
Common Wayside Flowers,Date Unknown,Null,Books
"Four Putti Playing with Flowers, Rondel in a Rectangular Frame (in ""Designs for Various Ornaments,"" pl. 30)",Date Unknown,England,Prints
Fairy Flowers: Nature Legends of Fact & Fantasy,Date Unknown,Null,Books
"Floral Designs for the Table; being Directions for Its Ornamentation with Leaves, Flowers, & Fruit.",Date Unknown,England,Books
Flowers and Festivals or Directions for Floral Decoration of Churches,Date Unknown,England,Books
The Flowers Personified,Date Unknown,Null,Books
"Flowers Festival at Bois de Boulogne (Bois de Boulogne, fete des Fleurs)",Date Unknown,Null,Drawings
"Composition with a large vase of flowers framed by two male nudes at left, to the right two putti wrestle over a hare as a third watches, all framed by grotesque friezes and architectural elements, plate 4 from ""David trionfante di Golia e de' filistei"", after the frescoes by Pietro da Cortona in the Palazzo del Pigneto, Rome",Date Unknown,Null,Prints
"Composition with a putto seated next to a basket filled with fruit and a peacock perched on top, to the right a large vase of flowers framed by two male nudes; all framed by grotesque friezes and architectural elements, plate 3 from ""David trionfante di Golia e de' filistei"", after the frescoes by Pietro da Cortona in the Palazzo del Pigneto, Rome",Date Unknown,Null,Prints
"Composition with two putti playing with a small bird on a string, to the right a large vase of flowers framed by two male nudes; all framed by grotesque friezes and architectural elements, plate 6 from ""David trionfante di Golia e de' filistei"", after the frescoes by Pietro da Cortona in the Palazzo del Pigneto, Rome",Date Unknown,Null,Prints
"Composition with a large vase of flowers framed by two male nudes at left, to the right two putti play with a hare, all framed by grotesque friezes and architectural elements, plate 1 from ""David trionfante di Golia e de' filistei"", after the frescoes by Pietro da Cortona in the Palazzo del Pigneto, Rome",Date Unknown,Null,Prints
"Fleurs (Flowers), Plate 2",Date Unknown,France,Books
Textile Design with Bundles of Stylized Flowers Inside Square Frames Over a Checked Background,Date Unknown,Null,Drawings
Textile designs with stylized flowers and scrolling garlands,Date Unknown,France,Books
"Designs for ribbons or borders with palmettes, stylized flowers and leaves, and scrolling motifs",Date Unknown,France,Books
"Fleurs (Flowers), Plate 11",Date Unknown,France,Books
"Fleurs (Flowers), Plate 12",Date Unknown,France,Books
Lady's Slipper from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Eschscholtzia from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Moss Rose Bud from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Heliotrope from Language Of Flowers (N366) issued by Lone Jack Cigarette Company,Date Unknown,Null,Prints
White Camellia from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Orange Blossom from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Peony from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
Lily of the Valley from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Lilac (Purple) from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
Rose Scented Geranium from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
"Chrysanthemum, Yellow from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes",Date Unknown,Null,Prints
Water Lily from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
American Cowslip from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Arbutus from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Red Rose from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Ambrosia from the Language of Flowers series (N366) issued by the Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
"Eglantine, Sweet Briar from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes",Date Unknown,Null,Prints
Jonquil from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Wallflower from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
"Tulip, Yellow from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Lone Jack Cigarettes",Date Unknown,Null,Prints
Christmas Rose from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
White Hyacinth from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Chinese Primrose from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Oxlip from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Calla Aethiopica from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Peach from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
White Rose from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Indian Pink (double) from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Sweet Violet from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Pink (red double) from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
Daisy from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
Austrian Rose from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Sunflower (dwarf) from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Forget Me Not from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Oak Leaved Geranium from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Amethyst from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
Oak Leaved Geranium from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
Musk Rose Cluster from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Malon Greeana from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Red Camellia Janonica from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Tuberose from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
Acacia from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Sweet William from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Shepherd's Purse from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Pansy from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Ruby Cigarettes,Date Unknown,Null,Prints
Bridal Rose from Language Of Flowers (N366) issued by Lone Jack Cigarette Company to promote Lone Jack Cigarettes,Date Unknown,Null,Prints
"You are fond of flowers, from the Fortunes series (T62) issued to promote Turkish Trophies Cigarettes",Date Unknown,Null,Prints
Textile designs with semi-abstract patterns and stylized flowers and leaves,Date Unknown,France,Books
"Lilacs, Fannie Rice, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons & Co.",Date Unknown,Null,Prints
Textile (?) designs with thin garlands of flowers and leaves,Date Unknown,France,Books
Ornamental designs with semi-abstract patterns and thin bundles of flowers and leaves,Date Unknown,France,Books
